Keyword,Taboo1,Taboo2,Taboo3,Taboo4,level,Page,Found By
Software,product,deliverable,hardware,computer,1,2,Z.P.
Failure curve,line,map,infant mortality,wear out,1,2,Z.P.
test,analysis,investigation,elimination,bugs,,,
technology,computer,electronics,science,mechanization,2,2,E.B
requirements,specification,demand,necessity,need,1,2,E.B
app,mobile,phone,android,iOS,1,9,A.P.
cloud computing,back-end,wireless,vitural,front-end,2,11,A.P.
modeling,build,design,plan,guide,2,17,A.P.
deployment,software,app,website,deliver,2,17,A.P.
umbrella activities,project,part,sub,task,2,18,A.P.
process,task,action,creat,work,1,16,Z.P.
process framework,communication,planning,modeling,construction,1,17,Z.P.
linear process flow,sequence,order,waterfall,syncronously,2,31,A.P.
paralell process flow,non-sequencial,asyncrounous,independent,alongside,2,31,A.P.
process model,watefall,prototyping,design,structure,3,40,A.P.
prototypoing,iteration,start,first,beginning,2,45,A.P.
waterfall,communication,planning,modeling,construction,1,42,Z.P.
formal methods model,mathematical,specification,model checking,verification,3,53,Z.P.
v-model,down,up,victory,win,2,42,Z.P.
Incremental Process Models,linear,parallel,increase,progresses,2,44,Z.P.
Evolutionary Process Models,iteration,prototyping,spiral model,two,2,49,Z.P.
concurrent Models,transtition,individual,computation,wait,3,51,Z.P.
development,growth,progress,improvement,upgrade,1,4,E.B
tools,instrument ,device,machine,equipment,1,16,E.B
Communication,connection,contact,conversation,transmission,2,17,E.B
Maintain ,keep up,repair,continue,preserve,1,22,E.B
Pattern ,design,diagram,decoration,plan,3,35,E.B
Initial Context,basic,fundamental,primary,early,3,36,E.B
inception,beginning,initiation,start,introduction,2,34,E.B
negotiation,debate,discussion,mediation,compromise,3,34,E.B
execution,rendering,implenetation,delivery,performance,2,4,S.K
mortality,fatality,dying,extinction,killing,1,,S.K
component-based development,software,system,reuse-based,separation,3,53,Z.P.
Formal Methods Model,set,rigorous,develop,approach,3,53,Z.P.
Personal Software Process,measurement,quality,work,activities,3,59,Z.P.
Planning,organizing,process,blue print,map,1,59,Z.P.
High-level design,architecture,software,product,developed,2,60,Z.P.
framework,structure,built,serve,guide,1,19,Z.P.
team leaders,people,boss,plan,group,1,688,Z.P.
motivation,encourage,passion,want,get,1,688,Z.P.
organization,team,many,together,object,1,688,Z.P.
innovation,new,product,idea,make,1,688,Z.P.
Managerial identity,leader,team,control,head,2,688,Z.P.
Achievement,end,begining,goal,object,2,688,Z.P.
agile development,software,Scrum,Lean,methodologies,3,66,A.P.
extreme programming,software,development,quality,methodology,3,72,A.P.
refactoring,restructuring,code,complexity,factoring,2,74,A.P.
spike solution,investigation,technical,reliability,throw,2,74,A.P.
acceptance test,testing,software,compliance,requirements,2,74,A.P.
project chartering,delineation,responsibilities,stakeholders,roles,2,76,A.P.
scrum,rugby,framework,product,team,3,78,A.P.
sprint,scrum,timebox,duration,development,2,78,A.P.
Dynamic Systems Development Method,framework,software,development,agile,4,79,A.P.
functional model iteration,prototype,tools,functino,loop,3,80,A.P.
management,administration,government,organization,control,1,685,E.B
people  factor,ability to attract,ability to develop,ability to motivate,ability to organize,4,685,E.B
Stakeholders ,collaborator,associate,function,associate,3,687,E.B
Agile Teams,highly motivated team,quick team,rapid team,active,3,691,E.B
feedback ,response,evaluation,comment,reaction,1,706,E.B
Direct measures of the software,lines of code (LOC),execution speed,memory size,defects reported,4,708,E.B
Indirect measures  of the software,functionality,quality,complexity,effi ciency,4,708,E.B
Estimation,guess,assessment,consideration,computation,2,728,E.B
project feasibility,practicability,usefulness,utility,workability,3,730,E.B
Maintain momentum,turnover,project,check,fast,3,697,Z.P.
Project complexity,time,size,hard ,planing,1,728,Z.P.
Project size,range,small,big,look,1,729,Z.P.
Requirements models,analysis,customer,software,domain,2,114,Z.P.
Design models,effectively,construct,user,characteristics,2,114,Z.P.
living models,cooperation,stakeholders,model-based,systems,2,120,Z.P.
Cloud computing,share,system,google,platform,2,127,Z.P.
Security,wall,system,safety,stop,1,127,Z.P.
Hashing,one by one,retrieval,data,allocate,1,127,Z.P.
Interfaces,share,link,access,contract,1,126,Z.P.
Elaboration,customer,developing,creat,describe,3,135,Z.P.
Viewpoints,think,share,improtant,experience,2,139,Z.P.
Traceability,refer,relationship,requirement,product,3,142,Z.P.
Quality function deployment,quality,QFD,process,customer,4,146,Z.P.
Self-adaptive systems,recover,data,requirement,function,4,158,Z.P.
Unit testing,single,alone,small,piece,3,528,A.P.
Validation testing,correct,project,checking,systems,4,529,A.P.
Fault based testing,error,model,source,values,4,531,A.P.
